VMP550T,VMP550L,VMP2750T,VMP2750L,VMP5500T,VMP5500L,SVI550_055T,SVI550_055L,SVI2750_055T,SVI2750_055L,SVI5500_055T,SVI5500_055L,SVI550_075T,SVI550_075L,SVI2750_075T,SVI2750_075L,SVI5500_075T,SVI5500_075L,SVI550_099T,SVI550_099L,SVI2750_099T,SVI2750_099L,SVI5500_099T,SVI5500_099L
680.4772099,-241804.0704,876.2442917,-215294.9397,949.5731122,-180812.5256,299.9384096,-2913931.443,548.3749895,-1572382.196,903.8065075,-1317375.931,292.9088056,-8980990.27,554.5169246,-1666943.08,1136.57789,-1609208.804,298.2830006,-7522846.293,552.392008,-1788525.798,905.2078911,-1763374.025
710.6357009,-209006.2252,905.2459123,-188626.6338,984.2724626,-156182.6385,320.7727996,-3430389.883,587.2098807,-1522338.132,1024.465735,-1288417.825,314.1616092,-4.16E+07,593.8047411,-1645225.207,1209.797646,-1687622.259,317.9706779,-2.07E+07,590.5871479,-1774753.998,970.0433876,-1747884.02
742.2173853,-183728.3209,951.6111692,-168576.2277,1017.995918,-139123.5935,340.5026889,-3461133.081,626.0750564,-1526352.284,1145.877006,-1241128.651,334.849821,-5.60E+07,629.4754758,-1623234.245,1280.509403,-1556761.467,338.4043243,-2093696.185,627.2286257,-1755566.096,1036.449493,-1734481.084
773.9324591,-167329.0973,983.7046047,-153680.6998,1056.216368,-122706.9172,360.8186257,-3445338.696,664.6080331,-1523363.903,1314.67231,-1216458.375,355.5035636,-6078610.082,668.8210732,-1568636.53,1351.463593,-1535640.118,359.3998678,-2103984.556,666.8428233,-1746314.73,1097.940862,-1726510.789
806.5803558,-152684.4594,1017.311907,-140502.4688,1090.801035,-107519.8138,381.2243225,-3962165.495,702.2182737,-1531314.239,1471.023842,-1195318.27,376.0410948,-6818021.562,708.4929867,-1655549.648,1421.245092,-1510552.335,379.903119,-2096176.108,704.2284763,-1743780.238,1155.967062,-1718436.088
841.1491401,-142065.0648,1046.901878,-128793.9406,1128.407075,-95560.94911,402.8885327,-4092275.773,737.8216024,-2638555.902,1603.544407,-1173655.467,396.5191708,-7174234.94,746.5250314,-3815322.959,1494.092909,-1489684.237,400.7113565,-2107990.707,743.6389774,-1731933.872,1216.82569,-1708865.037
871.4334338,-135820.799,1078.83209,-119204.0024,1160.805111,-85110.03754,423.1019051,-4281370.466,776.171318,-1548730.442,1759.572205,-1153561.412,417.9103546,-1581084.929,785.3121428,-1546889.559,1557.946875,-1469069.973,422.4696793,-2138182.296,778.428053,-1717005.44,1270.586217,-1685662.406
904.4998051,-132722.8573,1106.950115,-113553.1383,1203.907638,-76342.87235,440.5151363,-4531851.577,810.0579059,-1555519.091,1850.476679,-1282230.399,437.386461,-3195414.56,819.3987336,-1527983,1631.916817,-1448951.466,443.0941095,-2081188.628,814.1918105,-1707515.126,1316.451899,-1686341.273
935.4143355,-130303.5947,1141.660706,-109607.6918,1238.498502,-66752.46734,462.3412384,-4603089.716,847.3334775,-1551117.65,1912.604143,-1306836.715,457.6216688,-3195629.699,859.2346232,-1613052.05,1710.629035,-1553891.772,464.0548455,-2087105.841,851.0976247,-1700698.813,1370.269548,-1672856.913
964.4358171,-127585.6896,1174.686863,-107157.222,1273.517048,-56639.25926,484.1420914,-3843980.974,881.3833012,-1558928.585,1995.632001,-1314427.434,477.885012,-3213528.214,898.8946216,-1601344.324,1787.693847,-1546725.545,483.7901325,-2098930.923,887.7421941,-1695687.785,1428.384277,-1665959.371
992.506693,-124955.6241,1208.564586,-104200.023,1303.685153,-46058.36224,505.245961,-2814979.576,920.6715795,-1555807.581,2112.732583,-1092263.424,499.3326522,-3259075.256,936.946592,-1476405.065,1859.969479,-1548271.36,504.3730243,-2085220.596,924.7005197,-1691504.175,1487.783037,-1654901.264
1021.578684,-122963.8985,1235.975341,-102441.6679,1339.192697,-34314.89353,526.3376185,-3415867.51,955.7185996,-1611394.617,,,520.3122661,-1528364.837,972.9939138,-1462195.604,1933.77523,-1377002.664,524.7231194,-2093493.746,963.7440447,-1685080.799,1542.882545,-1650394.695
1045.880935,-120369.7987,1267.979118,-99720.69976,1368.820936,-21811.37211,546.8203041,-2533194.925,992.2683311,-1743475.174,,,541.7770084,-3698360.935,1008.254728,-1414410.567,2007.893007,-1360754.143,545.9220143,-2782354.508,1001.51392,-1674637.278,1606.187099,-1648269.894
1075.466633,-118331.4533,1298.789429,-97387.44826,1408.817767,-7724.904862,568.0155568,-2724299.36,1031.129068,-1786890.332,,,562.7381819,-3897028.445,1047.77316,-1564682.529,,,565.2869738,-2687897.281,1037.045888,-1663315.359,1661.482769,-1642466.013
1104.167691,-116468.2715,1333.091687,-94798.75692,1443.624404,7355.627413,588.4353828,-2651788.44,1065.743901,-2547817.636,,,582.6396326,-1447349.027,1082.04244,-1427089.502,,,586.5964678,-2103239.379,1075.886033,-1668382.968,1720.313567,-1637208.836
1132.537294,-114664.2876,1364.173975,-93109.25168,1484.472562,22767.58284,609.2685102,-2817558.5,1099.590893,-1685942.927,,,603.5070414,-4255233.736,1120.733406,-1406263.991,,,606.0798005,-2145220.78,1113.275761,-1666762.256,1786.052087,-1628799.424
1159.341431,-112423.9257,1400.966792,-91210.40376,1516.670909,40078.32917,629.8848196,-3839902.792,1137.579611,-1337750.176,,,625.1023563,-1437094.06,1152.865064,-1390807.729,,,623.5947557,-2112585.699,1147.702934,-1659717.396,1848.061745,-1621390.504
1189.51802,-109886.6981,1432.112086,-88050.18615,1547.541843,53850.79865,649.8116994,-4236477.325,1176.021995,-1419666.632,,,645.1882782,-1340906.193,1191.312357,-1385588.368,,,644.1557897,-2135916.255,1187.157233,-1651819.305,1896.876812,-1621390.923
1218.181743,-107309.6919,1464.749192,-83756.5668,1593.369847,35990.89843,670.570124,-4271255.019,1214.562054,-2214303.998,,,666.611267,-1451507.669,1232.164558,-1313545.116,,,664.1417491,-2143974.536,1224.292572,-1965453.319,1959.194358,-1614147.546
1247.780999,-105176.3959,1499.667636,-79690.85518,1626.494982,69643.73552,691.1955354,-4685047.045,1255.094758,-1382325.254,,,688.0109707,-1367832.294,1269.086144,-1301792.805,,,684.9354371,-2161235.631,1262.280803,-1642728.183,2012.798886,-1610016.352
1276.088471,-102295.3875,1531.326085,-75899.92256,1655.537573,81407.56903,710.9237764,-1269263.162,1293.334041,-1317800.59,,,708.3067919,-4734349.082,1307.611946,-1292187.08,,,705.6744454,-2116785.559,1299.357268,-1635367.987,,
1300.240827,-99901.68061,1568.084065,-70930.03235,1692.495854,92428.11349,731.9850914,-3976059.016,1333.428705,-1333882.177,,,729.242249,-4077830.309,1345.424426,-1273167.33,,,724.129321,-2120129.762,1337.767882,-1624449.401,,
