DAG
at1 has 1 parent(s): {cl}
at2 has 1 parent(s): {cl}
at3 has 1 parent(s): {cl}
cl has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
14000	12.384787706559077	0.82
14100	12.384787706559077	0.87
14200	12.384787706559077	0.92
14300	12.384787706559077	0.9
14400	12.384787706559077	0.88
14500	12.384787706559077	0.88
14600	12.384787706559077	0.89
14700	12.384787706559077	0.83
14800	12.384787706559077	0.86
14900	12.384787706559077	0.86
15000	12.384787706559077	0.9
15100	12.384787706559077	0.81
15200	12.384787706559077	0.87
15300	12.384787706559077	0.84
15400	12.384787706559077	0.78
15500	12.384787706559077	0.86
15600	12.384787706559077	0.8
15700	12.384787706559077	0.86
15800	12.384787706559077	0.8
15900	12.384787706559077	0.81
16000	12.384787706559077	0.84
16100	12.384787706559077	0.86
16200	12.384787706559077	0.79
16300	12.384787706559077	0.8
16400	12.384787706559077	0.8
16500	12.384787706559077	0.77
16600	12.384787706559077	0.77
16700	12.384787706559077	0.84
16800	12.384787706559077	0.79
16900	12.384787706559077	0.83
17000	12.384787706559077	0.85
17100	12.384787706559077	0.79
17200	12.384787706559077	0.87
17300	12.384787706559077	0.92
17400	12.384787706559077	0.86
17500	12.384787706559077	0.82
17600	12.384787706559077	0.87
17700	12.384787706559077	0.85
17800	12.384787706559077	0.87
17900	12.384787706559077	0.83
18000	12.384787706559077	0.79
18100	12.384787706559077	0.85
18200	12.384787706559077	0.82
18300	12.384787706559077	0.84
18400	12.384787706559077	0.77
18500	12.384787706559077	0.82
18600	12.384787706559077	0.81
18700	12.384787706559077	0.82
18800	12.384787706559077	0.81
18900	12.384787706559077	0.84
19000	12.384787706559077	0.87
19100	12.384787706559077	0.8
19200	12.384787706559077	0.89
19300	12.384787706559077	0.79
19400	12.384787706559077	0.78
19500	12.384787706559077	0.83
19600	12.384787706559077	0.84
19700	12.384787706559077	0.81
19800	12.384787706559077	0.84
19900	12.384787706559077	0.78
20000	12.384787706559077	0.77
20100	12.384787706559077	0.85
20200	12.384787706559077	0.89
20300	12.384787706559077	0.82
20400	12.384787706559077	0.85
20500	12.384787706559077	0.86
20600	12.384787706559077	0.83
20700	12.384787706559077	0.8
20800	12.384787706559077	0.86
20900	12.384787706559077	0.8
21000	12.384787706559077	0.81
21100	12.384787706559077	0.86
21200	12.384787706559077	0.87
21300	12.384787706559077	0.88
21400	12.384787706559077	0.81
21500	12.384787706559077	0.8
21600	12.384787706559077	0.86
21700	12.384787706559077	0.85
21800	12.384787706559077	0.74
21900	12.384787706559077	0.84
22000	12.384787706559077	0.84
22100	12.384787706559077	0.89
22200	12.384787706559077	0.83
22300	12.384787706559077	0.89
22400	12.384787706559077	0.79
22500	12.384787706559077	0.84
22600	12.384787706559077	0.83
22700	12.384787706559077	0.77
22800	12.384787706559077	0.83
22900	12.384787706559077	0.89
23000	12.384787706559077	0.82
23100	12.384787706559077	0.82
23200	12.384787706559077	0.9
23300	12.384787706559077	0.81
23400	12.384787706559077	0.87
23500	12.384787706559077	0.88
23600	12.384787706559077	0.81
23700	12.384787706559077	0.86
23800	12.384787706559077	0.85
23900	12.384787706559077	0.78
24000	12.384787706559077	0.83
24100	12.384787706559077	0.79
24200	12.384787706559077	0.81
24300	12.384787706559077	0.84
24400	12.384787706559077	0.86
24500	12.384787706559077	0.84
24600	12.384787706559077	0.86
24700	12.384787706559077	0.87
24800	12.384787706559077	0.84
24900	12.384787706559077	0.86
25000	12.384787706559077	0.8
25100	12.384787706559077	0.8
25200	12.384787706559077	0.84
25300	12.384787706559077	0.87
25400	12.384787706559077	0.81
25500	12.384787706559077	0.82
25600	12.384787706559077	0.86
25700	12.384787706559077	0.9
